tick,action,action_name,reward,total_reward,energy,food_eaten,pos_x,pos_y,local_food_count,local_poison_count,nearest_food_dx,nearest_food_dy,nearest_poison_dx,nearest_poison_dy,network_active_nodes,network_connections,network_avg_threshold,last_output_activations
41,1,NORTH,-1.0,59.0,159.0,4,7,1,0,0,-3,2,-4,0,20,338,1.0115,2898186132564746630015746048.000|12795307112613237556252770304.000|7187073604703761614275346432.000|11963461843424396727736598528.000|6942963948435001502475485184.000|8950841666397011501593395200.000
42,1,NORTH,-1.0,58.0,158.0,4,7,0,0,0,4,0,-4,1,20,340,1.0261,36735542507843222563821977600.000|156661056191068405013531328512.000|93149431507012610997606154240.000|150299553170402244277158543360.000|86304610908961477463510089728.000|111939541654645439562443128832.000
43,4,EAST,-1.0,57.0,157.0,4,7,0,0,0,4,0,-4,1,20,345,1.0407,442924120225517813351197966336.000|1922380336373142072880078520320.000|1186560269937685054612618346496.000|1900276822350523693870119649280.000|1091600135314739139863730192384.000|1420131431764840203107726000128.000
44,4,EAST,-1.0,56.0,156.0,4,8,0,0,0,3,0,-5,1,20,347,1.0553,5452524847046866576283766095872.000|23900595454610623740343945789440.000|15588753246851131282862758690816.000|24706700263102573468369329061888.000|14186643564854127443111481180160.000|19050965599127711167265164492800.000
45,4,EAST,-1.0,55.0,155.0,4,9,0,0,0,2,0,5,0,20,348,1.0699,63970741442624966307124554498048.000|303074126716843684778225824694272.000|200300300747088196703743893307392.000|322079089633265028182369296711680.000|191265817233520283575918553726976.000|258424530221588536184122103562240.000
46,4,EAST,-1.0,54.0,154.0,4,10,0,1,0,1,0,4,0,20,349,1.0845,804873488587713881166821671829504.000|3862556977425057294437618884280320.000|2574592101556541263720815523790848.000|4328261258236979064623447343628288.000|2544162682158064900072867280977920.000|3607155211697262699790908446998528.000
47,5,EAT,23.0,77.0,177.0,5,11,0,1,0,0,0,3,0,20,349,1.0847,10522202487382237080458159204597760.000|51001286257823415780561046523084800.000|33170939755127447456074210499100672.000|58395631976725095279215664978460672.000|34971072824075083186527699302612992.000|50727334017484632385641556094222336.000
48,3,WEST,-1.0,76.0,176.0,5,11,0,0,0,0,5,3,0,20,350,1.0993,140499816305550968963030622486396928.000|653704928079754334678418475098046464.000|435430780984309359167000214046244864.000|824146909023616364232387316827553792.000|494994762908317368504168689963106304.000|713502526755887000367027150234058752.000
49,2,SOUTH,-1.0,75.0,175.0,5,10,0,0,0,1,5,4,0,20,350,1.1139,2121404085407055567320288881480302592.000|8513253066700214033780316719370207232.000|5871428585680561159855322685344055296.000|11406455575384153834587560684147441664.000|7086216980248203520247692887217668096.000|10281820736581092518527167476621377536.000
50,3,WEST,-1.0,74.0,174.0,5,10,1,0,0,1,4,4,-1,20,350,1.1285,30587371615931753156302870062349418496.000|112943856257327136836954502990024146944.000|76093960338782373343496587688886140928.000|161458193624428418622007848437979021312.000|101817728207531617059588126769607081984.000|146641790141788549631656039886870282240.000
51,2,SOUTH,-1.0,73.0,173.0,5,9,1,0,0,2,4,-6,0,20,355,1.1431,452127105834191004242466492079379841024.000|1507910203214980486512111289240783945728.000|1023918300685386582674977813921123008512.000|2315256504588501620413361404132653531136.000|1451829661927796148291163711844229578752.000|2116085246667618094759836847853346488320.000
52,2,SOUTH,-1.0,72.0,172.0,5,9,2,0,0,2,3,-2,5,20,355,1.1577,7019696159726506929399226716176523460608.000|20161839534644840975824175821508176773120.000|14559366695568340144739291897428831109120.000|32996321134187619527825560121163412144128.000|20898721064684773924332801872414338187264.000|30928604228043113172903159137828092248064.000
53,4,EAST,-1.0,71.0,171.0,5,9,3,0,0,2,2,-2,4,20,356,1.1723,93829101373608875436359216946441271377920.000|267369503353410165794529365523990742827008.000|201140378470745216368258667333931392565248.000|479022431061500376097800495755614016765952.000|301805839042521343055487140812660439777280.000|453723526224926709545958454415865981960192.000
54,1,NORTH,-1.0,70.0,170.0,5,10,3,0,0,1,2,-3,4,20,360,1.1869,1346526454234015559666091481162985741746176.000|3847055070977100840215621237687853076447232.000|2858818990355926027053973165284307824017408.000|7104287447309469520540828005205241306808320.000|4415474909947117669023537070463707412168704.000|6824459838860767625271083176785311646613504.000
55,2,SOUTH,-1.0,69.0,169.0,5,10,2,0,0,1,3,4,-2,20,361,1.2015,21347509842472875033394416504299385987792896.000|57157499673311736264685454915292000751190016.000|40959267656705032524839597548280961736638464.000|105671039309342500244081021166927038214307840.000|66050801012783437207189146902853348302520320.000|102202191758474260531929792936468476631973888.000
56,3,WEST,-1.0,68.0,168.0,5,10,3,0,0,1,2,-3,4,20,364,1.2161,356073159404669306918329055731932581366595584.000|842662968268985945030784959265780619146166272.000|606432046094747902525440994902381665730953216.000|1608328698693992029692667823671147662894170112.000|1004460664548531955786380735972599275825659904.000|1556921880067323002147378833331703586706423808.000
57,4,EAST,-1.0,67.0,167.0,5,9,3,0,0,2,2,-2,4,20,367,1.2307,6370001886049366817953937498100689539438739456.000|12273140354348964843445744355220832916292501504.000|9636724062230183934329791829427310823036944384.000|24641483114373758107418990153815310054100828160.000|15501226107672480019589617331344369689080889344.000|23253497154213145613814973264585077756006498304.000
58,2,SOUTH,-1.0,66.0,166.0,5,10,3,0,0,1,2,-3,4,20,369,1.2453,109469196749074681536557166860296825009493508096.000|182438833362102516743978109889127907306525163520.000|155054272873917197373766100725373286950524420096.000|388623346919083622824818282142095646745077743616.000|246159178411511493982077926118310156385862549504.000|363933563842070964342363140855175880628598996992.000
59,4,EAST,-1.0,65.0,165.0,5,10,4,1,0,1,1,-3,3,20,370,1.2599,2023832730878108802079981631247309119549635297280.000|2774792128900876574621686214720347935066153811968.000|2566245865313977104970836778903518904381572382720.000|6293163383644032230029005973271285868362008100864.000|4012564432132165701028855857814385881208454119424.000|5814565365969983885539955399059991117618772705280.000
60,3,WEST,-1.0,64.0,164.0,5,11,4,1,0,0,1,5,1,20,370,1.2745,33593252557488938543122759704225878246891385257984.000|44678797113574842411926215359622585363265784643584.000|41416148167951368917441045628450234864159487426560.000|104153704399357732519877444571599993399074875244544.000|67466990336446278569282582906928832399311567323136.000|95429907099519066679647101672583554074638825816064.000
61,3,WEST,-1.0,63.0,163.0,5,10,4,2,0,-1,1,-3,3,20,371,1.2891,574577862423673107030360710987842313859261383311360.000|738738001415950028884761111191731325791258688880640.000|688087023523763580088470055169286423339934777606144.000|1733684933365520088667309568564447284181812201390080.000|1126320774922922146491145741114280136513665487601664.000|1620535856370552020063793941045343056504389525045248.000
62,3,WEST,-1.0,62.0,162.0,5,9,4,1,0,0,1,-2,3,20,371,1.3037,9591327877635506043808742190049033890525158660112384.000|12474856640669375587110848225516330250314220138659840.000|11033545849308492490426111394561191006807644996370432.000|28524929369149578995473494769356769471558023020281856.000|19500213291597466595729265773403901168668059478523904.000|27467713441517002922707043010310851670030398559092736.000
63,4,EAST,-1.0,61.0,161.0,5,8,4,1,0,1,1,-1,3,20,371,1.3183,168635152217941580005705909255890522069322839359488000.000|198204752352930074159989420381550067841347922817974272.000|184687606627245773825941198145647077882268016355311616.000|468558784227222500032378951712292604476497428624703488.000|335411782046077151794033047831122807447234793210642432.000|458463969128635373986917638623651461204909171073351680.000
64,2,SOUTH,-1.0,60.0,160.0,5,9,4,1,0,0,1,-2,3,20,371,1.3329,3029096708480354342993981223761982023638434265830522880.000|3126672565463292110175581257890560760342162727954808832.000|3129267199949036822155377023408806723118163465135456256.000|7708812572959523046608475646072780599177677185887502336.000|5770394091438628031307346498167346430907460782605205504.000|7587760239577576482212348635770779582118555718642565120.000
65,5,EAT,30.0,90.0,190.0,6,9,5,1,0,0,0,-2,2,20,371,1.3289,53667219913504456978218795910536412324498092010174939136.000|47483321046654951141591315628208146968401914069094760448.000|53916097555393182878145225963856397997073398309039636480.000|128960406508408024849771445577564064143761596524401786880.000|95375052174231344646839927549150971231858486734359625728.000|126065477107655089442375024711966795777774275730599837696.000
66,3,WEST,-1.0,89.0,189.0,6,9,5,0,0,2,0,-2,2,20,371,1.3435,944540353948954433830673794048941521131832074418664767488.000|803022376637676240189051564327681492835097434238794858496.000|870761263034517079034567410240990510653533920157348397056.000|2174007673419543895484425271514068677374518760063067226112.000|1585442631100226407592004126390778017417359175609420349440.000|2127666980819426465601156016674927238734157272289011302400.000
67,4,EAST,-1.0,88.0,188.0,6,8,5,0,0,3,0,-1,2,20,371,1.3581,16182532309950790468220457971387782193649249912741783666688.000|13825755372570752358702043508539600454882488784104519106560.000|13930067598474495558923243310486730989229732891334593740800.000|36217913173300200192454267115981517923471872189494678519808.000|25932527601526298909739943271058877598789612550822165479424.000|36327317090259127082882813551956227146683484402618936066048.000
68,4,EAST,-1.0,87.0,187.0,6,9,5,0,0,2,0,-2,2,20,371,1.3727,279369340291762341987791607718125029911697930634802193498112.000|239430880022085056222922834601313317223719776850266925563904.000|228006789516816402846227885133761314240262092965527443996672.000|598024374062296641806700789681112315292775136173061098700800.000|433058923446088173225071056465915922077700199414133298298880.000|627465167904624101589362636875683613107597259014378025385984.000
69,4,EAST,-1.0,86.0,186.0,6,10,5,1,0,1,0,-3,2,20,371,1.3873,4711970984335798420307440704630948347258665497037847513792512.000|4014663174636192898067224574891800632223194397367122949832704.000|3773195617862536707514466203067361276331749124313082100711424.000|9706867070261684002239508196066398526634092517585377147486208.000|7104601620003558436577619816166676819139017760033692427747328.000|10423867956325508212881781373639707445801660467842032439656448.000
70,5,EAT,36.0,122.0,200.0,7,11,5,1,0,0,0,5,0,20,371,1.3797,79599619030826344286753049814649863051176993231793789631201280.000|64909020660936708221773011501049613773680940562005228502646784.000|63562749907929054687844803206186933906901835827541072941154304.000|161084142297189987305063863576343076102715300199342850892103680.000|116832294128921934243798563594002991515557033563219645406642176.000|169236371614986725253600364172540364933257318844148905169387520.000
71,4,EAST,-1.0,121.0,199.0,7,11,5,0,0,3,0,5,0,20,371,1.3943,1355491979110572059889658693343250613589289350381003823095218176.000|1043521823788187143657735981036249615991953196445925178129514496.000|1029835154670572159797656595126189651247012032576510295103504384.000|2695460960099511849711991565488015280395270699613096369048256512.000|1898955101961430302377906517958833757893870433153588255573147648.000|2790192807211468680414618818655171143460160895002574012578529280.000
72,3,WEST,-1.0,120.0,198.0,7,12,5,1,0,2,0,4,0,20,374,1.4089,21574310509027220334738582061526345857428265430568313574320504832.000|17396276358109416339429580316833721503412965681229570418570952704.000|15920602840280426815682359840226109016413045644234059131698282496.000|45180795562143822644981221611138185088193880904940799294336663552.000|31010652287668899547502204358099639793125022876079145699078307840.000|47399210235151448454966723482981072368099437670616699322153041920.000
73,5,EAT,-2.0,118.0,196.0,7,11,5,0,0,3,0,5,0,20,374,1.4241,342960983380294206868759497708502908777732247090816619800787156992.000|292366136027799184829593577028441735688567413320971151546964246528.000|245185342824425509903605822323839334374470250884092721336890163200.000|750416881364837509676563526129649853812096393518021279376948068352.000|502919848607694588125833499984123683371197303320443011189516009472.000|824858133043584454334467075913301748096156006408837186432314376192.000
74,4,EAST,-1.0,117.0,195.0,7,11,5,0,0,3,0,5,0,20,374,1.4387,5078281280849023397958862285690700964029557692051842494571200118784.000|4919398160901274735827060585315189394966564520423232126453448441856.000|3610660083876414568708208648265664498686135469937380810601160245248.000|11676267615378508556666163655281531317154322529743973332003315515392.000|8112453737651068838705240760832173924177324476586765971183682715648.000|14044927522918166198036771956169349175955132970361383065294924152832.000
